sequential: 25,84193
	26,4199
	25,6049
	25,8792
	25,7457
	26,9374
	25,6856
	25,9101
	25,609
	25,2651
	25,3624
2 threads: 14,14392727
	16,538
	15,6186
	17,0062
	16,1901
	16,564
	16,8219
	13,686
	14,764
	13,143
	13,2514
4 threads: 7,286516
	7,44905
	8,20124
	7,76362
	8,16336
	8,34708
	6,63122
	6,61292
	6,5568
	6,53705
	6,60282
6 threads: 5,011115
	5,07016
	5,47501
	5,35479
	5,31975
	5,51645
	5,4344
	4,47601
	4,54466
	4,46023
	4,45969
8 threads: 4,155374
	4,12193
	4,26837
	4,18362
	4,19939
	4,20771
	4,37504
	4,19778
	4,26052
	3,8852
	3,85418
10 threads: 3,655796
	3,70274
	3,76464
	3,65507
	3,68598
	3,83132
	3,59118
	3,61608
	3,61698
	3,54291
	3,55106
12 threads: 3,292759
	3,51271
	3,39819
	3,26435
	3,24763
	3,36196
	3,35879
	3,20555
	3,19302
	3,19772
	3,18767
14 threads: 3,313165
	3,45202
	3,37878
	3,33346
	3,291
	3,25921
	3,49925
	3,29492
	3,21198
	3,20319
	3,20784
16 threads: 3,334741
	3,4901
	3,38318
	3,36504
	3,20943
	3,28844
	3,63673
	3,30156
	3,21629
	3,25721
	3,19943
18 threads: 3,385192
	3,381
	3,37206
	3,44276
	3,32522
	3,43336
	3,48368
	3,28824
	3,31757
	3,5029
	3,30513
20 threads: 3,343024
	3,4259
	3,40313
	3,31134
	3,33251
	3,35753
	3,42896
	3,40934
	3,31425
	3,18458
	3,2627
22 threads: 3,381687
	3,2887
	3,45048
	3,45204
	3,32863
	3,29719
	3,21432
	3,35457
	3,49737
	3,56423
	3,36934
24 threads: 3,877101
	4,12649
	3,83577
	3,88499
	3,84461
	3,83515
	3,8253
	3,89568
	3,83227
	3,84454
	3,84621

